"customer_id","date","rating","reviewText","imageCount","helpfulCount","nonHelpfulCount"
"13380994","19 апреля, 17:12","3","Они огромные,почему пишут, что маломерки.",0,"0","0"
"9380239","20 марта, 12:12","3","Размер не подошел",0,"0","0"
"8901336","19 марта, 9:31","5","Просто класс!",0,"0","0"
"12600605","17 марта, 11:28","5","Брюки хорошие. И ткань и пошив на отлично! Но , маломерки. Ношу 48. Оказались малы ровно на размер.",0,"0","0"
"22041889","23 февраля, 9:00","5","Отличное качество пошива, размер соответствует. Очень комфортная ткань.Спасибо производителям!!!",0,"0","0"
"11862901","23 февраля, 0:53","5","Брюки отличные 👍 Качество ткани, пошива на высоте. За такие деньги, просто подарочек 🌹",0,"0","1"
"15684350","13 февраля, 22:19","4","Брюки хорошие !но!они не черные ,а синие!жаль снятого процента!",1,"2","0"
"2040758","3 февраля, 18:53","5","Отличные брюки. Брала для девушки 46-48 размера. Сели идеально. На рост 165 чуть ниже середины голени. Дочка в восторге. До этой покупки прошлись по ""Европолису"".. То ткань ужас ужасный, то ценник, как на самолет. А эти просто супер. Хоть здесь и заявлено много синтетической нити, но ткань прям благородно выглядит. Спасибо тебе, магазин!!",0,"3","0"
"13496164","25 октября 2019, 7:20","5","Очень классные брюки.ткань приятна к телу.так понравились,что одела сразу.размер соответствует указанному.спасибо.довольна.посмотрим,что будет после стирки",0,"0","0"
"7373032","7 октября 2019, 13:19","5","Отличные кюлоты. Цвет чёрно-синий. На параметры 78-99 сели хорошо. На рост 166 на 2 см выше щиколотки. Спасибо!",0,"4","0"
"10893936","30 сентября 2019, 12:51","5","Классные брюки. Размер в размер. Сели идеально,только я низкая,пришлось укоротить",0,"0","0"
"5320614","26 сентября 2019, 10:53","5","Они шикарны! Качество, крой, ткань-идеально все! Брала 48, но сбросила вес и буду отдавать, ушивать) прекрасные колюты, на осень супер стильная вещица",0,"3","0"
"8673632","2 сентября 2019, 18:59","5","Штаны просто супер! Качественные строчки и ткань плотная, хорошая. Рекомендую! Размер соответствует, посадка хорошая!",0,"3","0"
"11871944","23 сентября 2019, 13:01","5","Ткань плотная, на рост 165 оказались длинноваты. С размером не угадала. Прошу не учитывать процент выкупа.",3,"5","2"
"5526051","22 сентября 2019, 8:57","5","Брики пришли с пятном! Прошу не учитывать в процент выкупа",0,"0","1"
"14800391","19 сентября 2019, 9:03","5","Я заказывала 44 и 46 размер, оставила 44! Покупкой довольна! Качество плотное, на осень отлично подойдут!",0,"1","0"
"19568845","14 сентября 2019, 19:44","5","Безумно довольна покупкой. Сели как-будто шили по индивидуальным меркам. Заказывала 46 и 48 размер. Выбрала 46 р-р (на талию 73 см, бедра 100 см). На мой рост 180 см длина как на модели. Если считать что это всё-таки кюлоты, то модель для высоких дам. Цвет, действительно как в предыдущих отзывах, уходит в синий. Купила за 743 руб. Большое СПАСИБО WB!",0,"7","0"
"21197536","13 сентября 2019, 19:56","5","💣❤❤ооочень классные",0,"0","0"
"14754733","12 сентября 2019, 9:46","5","Классные. Но не то что ожидала. Цвет синий. Ткань мягкая. Не для делового стиля.",0,"0","1"
"18341819","11 сентября 2019, 16:33","5","Колоты отличные! Ношу размер 48-50, прочтя отзывы (Спасибо!), взяла 50 размер. Сидят прекрасно, но в талии еле застегнула, в бедрах - то, что надо. Ткань тяжёлая, плотная и очень приятная на ощупь. Не смотрятся дешево. На мой рост 158 см - длина по щиколотку. Но все равно хорошо. Как-раз к осеннему сезону! Очень понравились! Спасибо, Zarina & Wb!",0,"5","0"
"7039648","31 августа 2019, 11:50","4","Пошив и ткань супер, но маломерит в талии, поэтому отказ и перезаказ на больший размер",1,"2","0"
"16562257","3 сентября 2019, 20:59","5","Подошли, но в поясе чуть чуть маловато с натягом",0,"0","1"
"6869384","2 сентября 2019, 10:33","5","Я рада очень , что они у меня есть! Клевые! На 165 почти полная длина, но мне так больше подходит, зима ведь на пороге! На 42-44 , 44 размер подошёл отлично, чуточку свободно. Кармашки сбоку украшают. Спасибо WB! 740 рубликов",1,"6","0"
"15233425","31 августа 2019, 11:17","4","Брюки классные! Ношу 48-50. Почитав отзывы заказала 48,тк пишут что они большемерят, мои оказались размер в размер и мне маловаты( буду перезаказывать на больший.",0,"0","1"
"15893384","29 августа 2019, 13:04","5","Хорошего качества. Плотные, смесь, заказала дочке в школу. На рост 165 сели идеально. На зиму с колготками будет хорошо.",0,"1","0"
"16562462","29 августа 2019, 10:35","5","Ношу 44 а подошел идеально 42.классные брюки",0,"0","0"
"11591603","28 августа 2019, 20:09","5","Отличные! Да, на узкую талию. Цвет не верный, а темно-синий",0,"1","3"
"19515741","28 августа 2019, 14:35","5","Отличные брюки! Размер в размер, талия у меня не тонкая, подошли. Плотная ткань, очень приятная и удобная. Довольна, выглядят хорошо. Рекомендую.",0,"1","0"
